example_id                                         | status | run_time        |
./spec/lib/refinements/strings_spec.rb[1:6:23]     | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:6:24]     | passed | 0.0002 seconds  |
./spec/lib/refinements/strings_spec.rb[1:7:1]      | passed | 0.00006 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:2]      | passed | 0.00007 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:3]      | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:4]      | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:5]      | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:6]      | passed | 0.00007 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:7]      | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:8]      | passed | 0.00007 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:9]      | passed | 0.00007 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:10]     | passed | 0.0001 seconds  |
./spec/lib/refinements/strings_spec.rb[1:7:11]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:12]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:13]     | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:14]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:15]     | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:16]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:17]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:18]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:19]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:20]     | passed | 0.00009 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:21]     | passed | 0.00008 seconds |
./spec/lib/refinements/strings_spec.rb[1:7:22]     | passed | 0.0001 seconds  |
./spec/lib/refinements/strings_spec.rb[1:8:1]      | passed | 0.00014 seconds |
